시/도,구,단지명,URL,전용면적,평수,층,시군구,실거래가,매매_계약일자,매매최고가,갭투자구분,갭투자금액,전세가율,전세가,전세_계약일자
전라남도,화순군,서라3 ( 1996년),https://new.land.naver.com/complexes/102117,59.985㎡,23평,7층,화순읍 벽라리,7천500,2024.03.04,1억250,전세낀매수,1천500,80,6천,2021.03.26
전라남도,화순군,부영2 ( 1995년),https://new.land.naver.com/complexes/4939,60㎡,25평,12층,화순읍 광덕리,7천400,2024.01.02,8천700,전세낀매수,1천610,78,5천790,2023.05.09
전라남도,화순군,대광로제비앙 ( 1996년),https://new.land.naver.com/complexes/16946,59.97㎡,24평,14층,화순읍 대리,7천,2024.02.08,1억566,전세낀매수,500,92,6천500,2021.12.16
전라남도,화순군,대광로제비앙2차 ( 1998년),https://new.land.naver.com/complexes/16949,48.6㎡,20평,18층,화순읍 대리,6천450,2024.03.05,8천850,전세낀매수,1천450,77,5천,2016.11.15
전라남도,화순군,대광로제비앙 ( 1996년),https://new.land.naver.com/complexes/16946,40.56㎡,16평,12층,화순읍 대리,6천400,2024.02.28,7천376,전세낀매수,900,85,5천500,2020.02.06
전라남도,화순군,대광로제비앙2차 ( 1998년),https://new.land.naver.com/complexes/16949,39.36㎡,16평,8층,화순읍 대리,5천500,2024.03.09,7천500,전세낀매수,1천,81,4천500,2021.04.04
전라남도,화순군,오성2 ( 1998년),https://new.land.naver.com/complexes/102118,42.75㎡,17평,11층,화순읍 계소리,5천,2024.02.19,5천700,전세낀매수,1천500,70,3천500,2022.01.07
경상북도,경산시,중산하늘채더퍼스트 ( 2021년),https://new.land.naver.com/complexes/125219,113.1152㎡,41평,15층,경산시 중산동,6억3천300,2024.01.23,7억5천,전세낀매수,5천300,91,5억8천,2021.04.02
경상북도,경산시,힐스테이트펜타힐즈 ( 2021년),https://new.land.naver.com/complexes/123383,106.74㎡,41평,30층,경산시 중산동,5억8천,2024.02.15,5억9천,전세낀매수,1억5천500,73,4억2천500,2021.05.26
경상북도,경산시,중산하늘채더퍼스트 ( 2021년),https://new.land.naver.com/complexes/125219,84.4176㎡,31B평,28층,경산시 중산동,5억200,2024.03.06,5억5천,전세낀매수,1억8천200,63,3억2천,2021.04.17
경상북도,경산시,중방e-편한세상1단지 ( 2010년),https://new.land.naver.com/complexes/26484,121.929㎡,47평,7층,경산시 중방동,5억,2024.02.04,6억3천900,전세낀매수,1억5천350,69,3억4천650,2021.03.25
경상북도,경산시,중산하늘채더퍼스트 ( 2021년),https://new.land.naver.com/complexes/125219,84.8381㎡,31C평,19층,경산시 중산동,4억9천,2024.02.24,5억5천,전세낀매수,3천,93,4억6천,2022.02.26
경상북도,경산시,힐스테이트펜타힐즈 ( 2021년),https://new.land.naver.com/complexes/123383,84.15㎡,32평,29층,경산시 중산동,4억8천500,2024.02.06,4억9천400,전세낀매수,2억3천500,51,2억5천,2023.02.25
경상북도,경산시,중산하늘채더퍼스트 ( 2021년),https://new.land.naver.com/complexes/125219,84.6477㎡,32A평,13층,경산시 중산동,4억5천500,2024.03.21,6억600,전세낀매수,1억7천500,61,2억8천,2023.10.23
경상북도,경산시,경산임당호반베르디움 ( 2019년),https://new.land.naver.com/complexes/114164,84.879㎡,33A평,19층,경산시 계양동,4억5천,2024.01.02,6억4천,전세낀매수,7천,84,3억8천,2022.05.09
경상북도,경산시,펜타힐즈더샵2차 ( 2018년),https://new.land.naver.com/complexes/111164,84.9515㎡,34A평,25층,경산시 중산동,4억4천900,2024.02.22,6억6천,전세낀매수,1억5천900,64,2억9천,2022.10.28
경상북도,경산시,펜타힐즈푸르지오 ( 2019년),https://new.land.naver.com/complexes/113658,84.2875㎡,32A평,16층,경산시 중산동,4억4천500,2024.03.11,6억6천,전세낀매수,1억4천500,67,3억,2023.06.20
경상북도,경산시,펜타힐즈푸르지오 ( 2019년),https://new.land.naver.com/complexes/113658,84.2673㎡,32C평,29층,경산시 중산동,4억4천400,2024.02.24,5억3천,전세낀매수,1억8천400,58,2억6천,2022.12.30
경상북도,경산시,중방e-편한세상3단지 ( 2010년),https://new.land.naver.com/complexes/26486,101.49㎡,39평,3층,경산시 중방동,4억3천,2024.02.17,5억7천500,전세낀매수,4천,90,3억9천,2022.05.01
경상북도,경산시,펜타힐즈더샵1차 ( 2017년),https://new.land.naver.com/complexes/108994,84.9772㎡,34A평,14층,경산시 중산동,4억2천500,2024.03.16,6억5천,전세낀매수,1억8천,57,2억4천500,2023.12.06
경상북도,경산시,사동2지구화성파크드림 ( 2010년),https://new.land.naver.com/complexes/102232,119.0504㎡,,5층,경산시 사동,4억1천800,2024.03.09,5억2천,전세낀매수,1억3천800,66,2억8천,2022.10.23
경상북도,경산시,펜타힐즈더샵1차 ( 2017년),https://new.land.naver.com/complexes/108994,84.7963㎡,34B평,7층,경산시 중산동,4억1천600,2024.02.28,6억2천,전세낀매수,1억1천600,72,3억,2019.10.02
경상북도,경산시,사동2지구화성파크드림 ( 2010년),https://new.land.naver.com/complexes/102232,120.3595㎡,,16층,경산시 사동,4억1천,2024.02.14,4억9천,전세낀매수,1억2천,70,2억9천,2023.06.10
경상북도,경산시,펜타힐즈푸르지오 ( 2019년),https://new.land.naver.com/complexes/113658,72.6461㎡,29A평,14층,경산시 중산동,4억500,2024.03.05,5억4천500,전세낀매수,1억2천500,69,2억8천,2022.10.01
경상북도,경산시,정평역하늘채RIVERPARK ( 2020년),,84.9882㎡,33A평,14층,경산시 정평동,4억100,2024.02.20,5억1천,전세낀매수,1억3천100,67,2억7천,2023.02.25
경상북도,경산시,펜타힐즈서한이다음 ( 2014년),https://new.land.naver.com/complexes/104188,84.9606㎡,34A평,9층,경산시 중산동,3억9천,2024.02.14,5억8천800,전세낀매수,1억7천,56,2억2천,2023.12.09
