시/도,구,단지명,URL,입주일자,세대수,최고가,최저가(22년이후),최저가(2개월이내),매물최저가,최저비율,매물개수,80%이하개수,전세매물최고,전세가율,전세매물최저,전세매물개수
서울특별시,관악구,신림현대(소형),https://new.land.naver.com/complexes/58,1993.05.25.,"1,634세대(12동)",7억9천,5억,0,5억8천,-26,19건,14건,3억6천,51,2억8천600,3건
서울특별시,관악구,관악산휴먼시아2단지(소형),https://new.land.naver.com/complexes/8895,2008.03.13.,"2,265세대(32동)",7억3천,5억,5억4천400,5억7천,-21,13건,3건,4억3천,64,3억6천,6건
서울특별시,광진구,광장힐스테이트(국평),https://new.land.naver.com/complexes/100514,2012.03.28.,453세대(5동),21억8천,17억4천500,19억7천,19억8천,-9,5건,0건,,,,
서울특별시,광진구,광장힐스테이트(소형),https://new.land.naver.com/complexes/100514,2012.03.28.,453세대(5동),18억,14억9천500,16억7천,16억7천,-7,7건,0건,,,,
서울특별시,광진구,현대프라임(국평),https://new.land.naver.com/complexes/84,1997.03.28.,"1,592세대(15동)",17억2천,14억3천500,0,16억5천,-4,4건,0건,8억,47,7억3천,4건
서울특별시,광진구,이튼타워리버5차(국평),https://new.land.naver.com/complexes/27366,2009.09.15.,279세대(4동),18억,15억5천,16억,16억,-11,3건,0건,,,,
서울특별시,광진구,래미안파크스위트(국평),https://new.land.naver.com/complexes/112339,2018.09.27.,854세대(12동),15억2천,13억5천,14억8천,14억,-7,15건,0건,9억5천,56,8억5천,6건
서울특별시,광진구,래미안파크스위트(소형),https://new.land.naver.com/complexes/112339,2018.09.27.,854세대(12동),13억9천500,6억1천500,12억4천500,12억,-13,24건,0건,7억5천,56,6억8천,10건
서울특별시,광진구,현대프라임(소형),https://new.land.naver.com/complexes/84,1997.03.28.,"1,592세대(15동)",13억,8억8천,10억8천,11억,-15,17건,0건,5억6천,43,4억7천958,10건
서울특별시,구로구,디큐브시티(국평),https://new.land.naver.com/complexes/27310,2011.07.18.,524세대(2동),15억3천,11억3천,0,14억5천,-5,7건,0건,8억5천,54,8억5천,1건
서울특별시,구로구,대림e-편한세상4(국평),https://new.land.naver.com/complexes/27310,2003.05.27.,853세대(15동),16억3천500,13억7천,14억8천500,14억,-14,4건,0건,,,,
서울특별시,구로구,신도림태영타운(국평),https://new.land.naver.com/complexes/3204,2000.12.22.,"1,252세대(13동)",12억6천,9억,10억5천500,10억2천,-19,26건,0건,7억2천,58,6억,8건
서울특별시,구로구,디큐브시티(소형),https://new.land.naver.com/complexes/27310,2011.07.18.,524세대(2동),11억8천,8억4천,0,9억8천,-16,11건,0건,7억2천,58,5억9천500,4건
서울특별시,구로구,신도림태영타운(소형),https://new.land.naver.com/complexes/3204,2000.12.22.,"1,252세대(13동)",10억3천,7억5천,8억5천,9억3천,-9,9건,0건,5억7천,59,5억3천,4건
서울특별시,구로구,개봉푸르지오(국평),https://new.land.naver.com/complexes/104934,2014.05.,"978세대(기타임대 115세대 포함, 총10동)",10억5천,8억1천300,8억4천,8억6천,-18,15건,0건,5억5천,58,5억5천,1건
서울특별시,구로구,온수힐스테이트(국평),https://new.land.naver.com/complexes/26639,2010.02.17.,"999세대(기타임대 56세대 포함, 총18동)",10억,7억2천,0,7억8천,-22,9건,5건,5억3천,65,5억,3건
서울특별시,구로구,개봉푸르지오(소형),https://new.land.naver.com/complexes/104934,2014.05.,"978세대(기타임대 115세대 포함, 총10동)",8억5천,6억5천,7억4천,7억3천,-14,2건,0건,,,,
서울특별시,구로구,온수힐스테이트(소형),https://new.land.naver.com/complexes/26639,2010.02.17.,"999세대(기타임대 56세대 포함, 총18동)",8억4천500,5억7천,0,6억5천,-23,16건,7건,5억,66,4억5천,4건
서울특별시,금천구,금천롯데캐슬골드파크3차(국평),https://new.land.naver.com/complexes/109956,2018.10.30.,"1,236세대(6동)",14억2천,10억3천,11억9천,11억5천,-19,41건,0건,7억5천,54,7억,6건
서울특별시,금천구,금천롯데캐슬골드파크1차(국평),https://new.land.naver.com/complexes/107929,2016.11.30.,"1,743세대(장기전세 183세대 포함, 총11동)",13억7천,8억9천900,10억8천,11억,-19,48건,0건,7억,52,6억5천,9건
서울특별시,금천구,e편한세상독산더타워(국평),https://new.land.naver.com/complexes/115472,2019.11.28.,432세대(2동),9억5천,7억8천,0,10억,5,5건,0건,6억5천,50,6억4천,2건
서울특별시,금천구,금천롯데캐슬골드파크1차(소형),https://new.land.naver.com/complexes/107929,2016.11.30.,"1,743세대(장기전세 183세대 포함, 총11동)",10억4천,8억3천,0,8억9천,-14,13건,0건,,,,
서울특별시,금천구,금천롯데캐슬골드파크3차(소형),https://new.land.naver.com/complexes/109956,2018.10.30.,"1,236세대(6동)",10억5천,7억5천,8억8천,8억8천,-16,50건,0건,6억2천,59,5억7천,4건
서울특별시,금천구,남서울힐스테이트(국평),https://new.land.naver.com/complexes/104347,2014.08.14.,"1,764세대(19동)",11억,7억9천,8억5천,8억5천,-22,22건,1건,6억,60,4억8천,7건
서울특별시,금천구,남서울힐스테이트(소형),https://new.land.naver.com/complexes/104347,2014.08.14.,"1,764세대(19동)",8억7천900,6억4천300,0,7억7천,-12,15건,0건,4억8천,56,4억4천300,4건
